year,artist,title
1975,Lady Styx,60
1975,Bad Time Grand Funk,61
1975,Only Women Bleed Alice Cooper,62
1975,Doctor’s Orders Carol Douglas,63
1975,Get Down Tonight KC and the Sunshine Band,64
1975,One Man Woman/One Woman Man Paul Anka & Odia Coates,65
1975,You Are So Beautiful Joe Cocker,66
1975,Feel Like Makin’ Love Bad Company,67
1975,How Sweet It Is (To Be Loved by You) James Taylor,68
1975,Dance with Me Orleans,69
1975,Cut the Cake Average White Band,70
1975,Never Can Say Goodbye Gloria Gaynor,71
1975,I Don’t Like to Sleep Alone Paul Anka,72
1975,Morning Side of the Mountain Donny & Marie Osmond,73
1975,Some Kind of Wonderful Grand Funk Railroad,74
1975,When Will I See You Again The Three Degrees,75
1975,"Get Down, Get Down (Get on the Floor) Joe Simon",76
1975,I’m Sorry John Denver,77
1975,Killer Queen Queen,78
1975,Shoeshine Boy Eddie Kendricks,79
1975,Do It (‘Til You’re Satisfied) B.T. Express,80
1975,Can’t Get It Out of My Head Electric Light Orchestra,81
1975,Sha-La-La (Make Me Happy) Al Green,82
1975,Lonely People America,83
1975,You Got the Love Rufus,84
1975,The Rockford Files Mike Post,85
1975,It Only Takes a Minute Tavares,86
1975,No No Song Ringo Starr,87
1975,Junior’s Farm Paul McCartney & Wings,88
1975,Bungle in the Jungle Jethro Tull,89
1975,Long Tall Glasses Leo Sayer,90
1975,Misty Ray Stevens,91
1975,Someone Saved My Life Tonight Elton John,92
1975,Bad Blood Neil Sedaka & Elton John,93
1975,Only Yesterday The Carpenters,94
1975,I’m on Fire Dwight Twilley Band,95
1975,Only You (And You Alone) Ringo Starr,96
1975,Third Rate Romance The Amazing Rhythm Aces,97
1975,You Ain’t Seen Nothing Yet Bachman–Turner Overdrive,98
1975,Swearin’ to God Frankie Valli,99
1975,Call MeGet Dancin’ Disco-Tex and the Sex-O-Lettes,100
1975,Elton John achieved the most entries with four (including a duet with Neil Sedaka) of the top songs of 1975.,Exploring these tracks offers a deep dive into the rich soundscapes that defined the period.
1975,Love Will Keep Us Together,Top Songs of 1975
1975,Rhinestone Cowboy,Captain & Tennille
1975,Philadelphia Freedom,Glen Campbell
1975,Before the Next Teardrop Falls,Elton John
1975,My Eyes Adored You,Freddy Fender
1975,Shining Star,Frankie Valli
1975,Fame,"Earth, Wind & Fire"
1975,Laughter in the Rain,David Bowie
